rank,player,average,year
69.0,Peter Jacobsen,268.3,1996
69.0,Joey Sindelar,268.3,1996
69.0,Ted Tryba,268.3,1996
72.0,Keith Clearwater,268.2,1996
73.0,Joey Gullion,268.1,1996
74.0,Hal Sutton,268.0,1996
75.0,Mike Sullivan,267.9,1996
76.0,Greg Kraft,267.7,1996
77.0,Tom Scherrer,267.5,1996
78.0,Donnie Hammond,267.4,1996
79.0,Hisayuki Sasaki,267.3,1996
80.0,Jeff Maggert,267.2,1996
81.0,Robin Freeman,266.8,1996
82.0,David Peoples,266.7,1996
83.0,Clarence Rose,266.6,1996
84.0,Frank Lickliter II,266.5,1996
85.0,Mark McCumber,266.4,1996
86.0,Brad Bryant,266.2,1996
86.0,Mark O'Meara,266.2,1996
88.0,Chip Beck,266.1,1996
89.0,Bryan Gorman,266.0,1996
,Tour Average,265.9,1996
90.0,Brian Claar,265.9,1996
90.0,Lee Janzen,265.9,1996
90.0,Steve Jurgensen,265.9,1996
93.0,Jeff Sluman,265.8,1996
93.0,Mike Springer,265.8,1996
95.0,Pete Jordan,265.5,1996
95.0,Jim McGovern,265.5,1996
95.0,Joe Ozaki,265.5,1996
98.0,Scott Dunlap,265.4,1996
98.0,Billy Mayfair,265.4,1996
100.0,Tommy Armour III,265.3,1996
100.0,Steve Rintoul,265.3,1996
102.0,Russ Cochran,265.2,1996
102.0,Jim Furyk,265.2,1996
102.0,Gil Morgan,265.2,1996
102.0,Kevin Sutherland,265.2,1996
106.0,Joe Daley,265.1,1996
106.0,David Frost,265.1,1996
106.0,Bob Tway,265.1,1996
109.0,Steve Elkington,264.8,1996
109.0,Jerry Kelly,264.8,1996
109.0,Blaine McCallister,264.8,1996
112.0,Mark Brooks,264.7,1996
112.0,Billy Ray Brown,264.7,1996
114.0,Scott Hoch,264.6,1996
115.0,Bobby Wadkins,264.5,1996
116.0,Joel Edwards,264.4,1996
117.0,Kirk Triplett,264.3,1996
118.0,Dan Forsman,264.2,1996
118.0,Dicky Pride,264.2,1996
120.0,Nick Faldo,264.1,1996
120.0,Ken Green,264.1,1996
120.0,Robert Wrenn,264.1,1996
123.0,Glen Day,263.8,1996
124.0,Paul Goydos,263.7,1996
125.0,Rick Fehr,263.6,1996
125.0,Jay Haas,263.6,1996
125.0,Brian Tennyson,263.6,1996
128.0,Franklin Langham,263.5,1996
129.0,Mike Hulbert,263.1,1996
130.0,Patrick Burke,263.0,1996
130.0,Brian Kamm,263.0,1996
132.0,Bob Gilder,262.5,1996
133.0,Justin Leonard,262.3,1996
134.0,Jay Don Blake,262.2,1996
135.0,David Ogrin,262.1,1996
136.0,Fred Funk,261.8,1996
136.0,Jeff Gallagher,261.8,1996
138.0,Curtis Strange,261.7,1996
139.0,John Cook,261.6,1996
139.0,Gary Rusnak,261.6,1996
139.0,Scott Simpson,261.6,1996
142.0,Nolan Henke,261.5,1996
142.0,Mark Wiebe,261.5,1996
144.0,Sean Murphy,261.2,1996
145.0,Emlyn Aubrey,261.0,1996
145.0,Olin Browne,261.0,1996
147.0,John Maginnes,260.8,1996
148.0,Brad Fabel,260.3,1996
149.0,Bob Estes,260.0,1996
149.0,Chris Perry,260.0,1996
151.0,Ron Whittaker,259.9,1996
152.0,Bart Bryant,259.8,1996
153.0,Tom Kite,259.7,1996
154.0,Billy Andrade,259.6,1996
154.0,Dillard Pruitt,259.6,1996
156.0,Lee Rinker,259.5,1996
157.0,Fulton Allem,259.2,1996
157.0,D.A. Weibring,259.2,1996
159.0,Wayne Levi,259.1,1996
160.0,Jim Thorpe,259.0,1996
161.0,Larry Mize,258.7,1996
161.0,Gene Sauers,258.7,1996
163.0,Tom Byrum,258.3,1996
163.0,Scott Medlin,258.3,1996
165.0,Dave Barr,258.1,1996
165.0,Jim Carter,258.1,1996
167.0,Mike Brisky,257.8,1996
167.0,Brandel Chamblee,257.8,1996
169.0,Scott Gump,257.7,1996
170.0,Allen Doyle,257.4,1996
170.0,Brad Faxon,257.4,1996
172.0,David Edwards,257.1,1996
172.0,Jeff Hart,257.1,1996
174.0,Omar Uresti,257.0,1996
175.0,Mike Reid,256.1,1996
176.0,Lennie Clements,256.0,1996
177.0,Wayne Grady,255.7,1996
178.0,John Morse,255.1,1996
178.0,Loren Roberts,255.1,1996
180.0,Tray Tyner,254.2,1996
181.0,Lanny Wadkins,253.6,1996
182.0,Doug Martin,253.2,1996
182.0,Don Pooley,253.2,1996
184.0,Ben Crenshaw,251.9,1996
185.0,John Mahaffey,250.7,1996
186.0,Bob Lohr,250.4,1996
187.0,Shane Bertsch,250.2,1996
188.0,John Inman,248.7,1996
189.0,Corey Pavin,248.1,1996
190.0,Ed Fiori,239.5,1996
1.0,John Daly,302.0,1997
2.0,Tiger Woods,294.8,1997
3.0,Bill Glasson,287.5,1997
4.0,Davis Love III,285.8,1997
5.0,Phil Mickelson,284.1,1997
5.0,Chip Sullivan,284.1,1997
7.0,Scott McCarron,283.8,1997
8.0,Fred Couples,283.5,1997
9.0,John Adams,280.9,1997
9.0,Vijay Singh,280.9,1997
11.0,Kelly Gibson,280.2,1997
12.0,David Duval,280.1,1997
13.0,Tim Herron,279.7,1997
14.0,Mark Calcavecchia,279.1,1997
15.0,Duffy Waldorf,279.0,1997
16.0,Grant Waite,278.6,1997
17.0,Stuart Appleby,278.4,1997
18.0,Steve Jones,278.2,1997
19.0,Hideki Kase,278.1,1997
20.0,Steve Lowery,277.8,1997
21.0,Paul Stankowski,277.5,1997
22.0,Tom Purtzer,277.2,1997
23.0,Kenny Perry,277.0,1997
24.0,Brent Geiberger,276.9,1997
25.0,Larry Silveira,276.8,1997
26.0,Brian Henninger,276.3,1997
27.0,Michael Christie,276.1,1997
27.0,Marco Dawson,276.1,1997
29.0,Shaun Micheel,276.0,1997
30.0,"Dave Stockton, Jr.",275.7,1997
31.0,"David Berganio, Jr.",275.2,1997
31.0,Bradley Hughes,275.2,1997
33.0,Tommy Tolles,275.0,1997
34.0,Steve Stricker,274.8,1997
35.0,Robert Gamez,274.6,1997
35.0,Tom Pernice Jr.,274.6,1997
37.0,Jay Delsing,274.4,1997
37.0,Brett Quigley,274.4,1997
37.0,Ted Tryba,274.4,1997
40.0,Phil Blackmar,274.3,1997
41.0,Andrew Magee,274.1,1997
42.0,Michael Bradley,273.8,1997
43.0,Joe Durant,273.3,1997
44.0,Robin Freeman,273.2,1997
45.0,"Jim Gallagher, Jr.",273.1,1997
46.0,Tommy Armour III,272.7,1997
46.0,Paul Azinger,272.7,1997
46.0,Rocco Mediate,272.7,1997
49.0,Keith Fergus,272.5,1997
50.0,David Toms,272.3,1997
51.0,Eric Johnson,272.1,1997
52.0,Ernie Els,271.6,1997
53.0,Todd Demsey,271.5,1997
53.0,Larry Nelson,271.5,1997
55.0,Tom Lehman,271.4,1997
56.0,Dan Forsman,271.1,1997
57.0,Payne Stewart,270.9,1997
57.0,Hal Sutton,270.9,1997
59.0,Lee Janzen,270.7,1997
59.0,Frank Nobilo,270.7,1997
61.0,Mike Standly,270.6,1997
62.0,Russ Cochran,270.5,1997
63.0,Hugh Royer III,270.4,1997
64.0,Bob Tway,270.3,1997
65.0,Ken Green,270.2,1997
66.0,Anthony Rodriguez,270.1,1997
67.0,Dudley Hart,269.9,1997
68.0,Stewart Cink,269.8,1997
68.0,Robert Damron,269.8,1997
70.0,Jim McGovern,269.7,1997
71.0,Donnie Hammond,269.6,1997
72.0,Tom Kite,269.3,1997
73.0,Tom Byrum,269.1,1997
74.0,Ronnie Black,269.0,1997
75.0,Brad Bryant,268.8,1997
75.0,Greg Norman,268.8,1997
77.0,Paul Goydos,268.5,1997
77.0,Neal Lancaster,268.5,1997
79.0,Steve Elkington,268.1,1997
79.0,Sandy Lyle,268.1,1997
81.0,Jay Don Blake,268.0,1997
81.0,Jay Haas,268.0,1997
83.0,Billy Ray Brown,267.9,1997
83.0,Brandel Chamblee,267.9,1997
83.0,John Huston,267.9,1997
86.0,Len Mattiace,267.8,1997
86.0,Billy Mayfair,267.8,1997
88.0,Ed Dougherty,267.7,1997
88.0,Gabriel Hjertstedt,267.7,1997
88.0,Peter Jacobsen,267.7,1997
88.0,Taylor Smith,267.7,1997
92.0,Jimmy Johnston,267.5,1997
92.0,Mark Wiebe,267.5,1997
,Tour Average,267.3,1997
94.0,Frank Lickliter II,267.3,1997
94.0,Nick Price,267.3,1997
96.0,Scott Dunlap,267.2,1997
96.0,P.H. Horgan III,267.2,1997
96.0,David Sutherland,267.2,1997
99.0,Woody Austin,267.1,1997
100.0,Skip Kendall,266.9,1997
100.0,Craig Stadler,266.9,1997
102.0,Joey Sindelar,266.7,1997
103.0,Jeff Sluman,266.6,1997
104.0,Billy Andrade,266.5,1997
104.0,Tom Watson,266.5,1997
106.0,Jack O'Keefe,266.3,1997
107.0,Steve Pate,266.2,1997
108.0,Jerry Kelly,266.1,1997
108.0,Jesper Parnevik,266.1,1997
108.0,Howard Twitty,266.1,1997
111.0,Jimmy Green,265.6,1997
111.0,Kevin Sutherland,265.6,1997
113.0,Craig Kanada,265.5,1997
114.0,Greg Kraft,265.4,1997
115.0,Shane Bertsch,265.2,1997
116.0,Kevin Burton,265.0,1997
116.0,Bob Estes,265.0,1997
118.0,Mike Springer,264.9,1997
119.0,Doug Barron,264.8,1997
120.0,Joe Ozaki,264.7,1997
121.0,Clarence Rose,264.5,1997
121.0,Gene Sauers,264.5,1997
123.0,Patrick Burke,264.4,1997
123.0,Pete Jordan,264.4,1997
125.0,Jeff Maggert,264.3,1997
125.0,Craig Parry,264.3,1997
125.0,Lee Porter,264.3,1997
128.0,John Wilson,264.2,1997
129.0,Glen Day,264.1,1997
129.0,Mike Hulbert,264.1,1997
131.0,Jim Carter,264.0,1997
132.0,John Cook,263.9,1997
132.0,J.P. Hayes,263.9,1997
132.0,Phil Tataurangi,263.9,1997
135.0,Nolan Henke,263.8,1997
135.0,Bob Wolcott,263.8,1997
137.0,Curtis Strange,263.7,1997
137.0,Kirk Triplett,263.7,1997
139.0,Rick Fehr,263.6,1997
140.0,Craig Bowden,263.4,1997
141.0,David Ogrin,263.3,1997
142.0,Blaine McCallister,263.2,1997
143.0,Chris Perry,263.0,1997
144.0,Jim Furyk,262.9,1997
144.0,Fuzzy Zoeller,262.9,1997
146.0,Guy Boros,262.7,1997
147.0,Scott Gump,262.6,1997
148.0,Olin Browne,261.9,1997
148.0,Brian Claar,261.9,1997
150.0,Nick Faldo,261.8,1997
150.0,David Frost,261.8,1997
150.0,Scott Simpson,261.8,1997
153.0,Mark O'Meara,261.7,1997
154.0,Brad Fabel,261.6,1997
154.0,Scott Verplank,261.6,1997
156.0,Lee Rinker,261.4,1997
157.0,John Dowdall,261.2,1997
157.0,Lanny Wadkins,261.2,1997
159.0,Mike Brisky,261.1,1997
160.0,Spike McRoy,260.8,1997
161.0,Scott Hoch,260.7,1997
162.0,D.A. Weibring,260.6,1997
163.0,Paul Claxton,260.5,1997
164.0,Fred Funk,260.2,1997
165.0,Brad Faxon,260.1,1997
165.0,Dicky Pride,260.1,1997
167.0,Joel Edwards,259.8,1997
168.0,Tim Simpson,259.6,1997
169.0,Chip Beck,259.5,1997
170.0,Rafael Alarcon,259.3,1997
170.0,Mark Brooks,259.3,1997
172.0,Justin Leonard,259.2,1997
173.0,Wayne Levi,258.8,1997
173.0,Willie Wood,258.8,1997
175.0,Fulton Allem,258.5,1997
176.0,Don Pooley,258.4,1997
177.0,John Maginnes,258.3,1997
178.0,Emlyn Aubrey,258.1,1997
179.0,Jeff Hart,257.9,1997
180.0,Larry Mize,257.6,1997
181.0,Larry Rinker,257.4,1997
182.0,Sonny Skinner,257.2,1997
183.0,Bruce Fleisher,257.1,1997
184.0,Omar Uresti,256.4,1997
185.0,Steve Hart,256.3,1997
186.0,Allen Doyle,256.2,1997
187.0,Doug Martin,255.6,1997
188.0,Tray Tyner,255.5,1997
189.0,David Edwards,254.4,1997
190.0,Mike Reid,253.7,1997
191.0,Loren Roberts,251.4,1997
192.0,Lennie Clements,251.2,1997
193.0,Corey Pavin,250.9,1997
194.0,John Morse,250.6,1997
195.0,Ed Fiori,244.8,1997
1.0,John Daly,299.4,1998
2.0,Tiger Woods,296.3,1998
3.0,Harrison Frazar,289.8,1998
4.0,Fred Couples,289.1,1998
4.0,Scott McCarron,289.1,1998
6.0,David Duval,286.8,1998
7.0,Barry Cheesman,284.1,1998
8.0,Vance Veazey,283.9,1998
9.0,Phil Mickelson,283.4,1998
10.0,Kelly Gibson,283.0,1998
11.0,Steve Jones,281.7,1998
12.0,Steve Flesch,281.6,1998
13.0,Tommy Armour III,281.5,1998
14.0,Chris Smith,281.3,1998
15.0,J.L. Lewis,281.2,1998
15.0,Davis Love III,281.2,1998
17.0,Tim Herron,281.1,1998
18.0,Kenny Perry,280.4,1998
19.0,Gary Hallberg,280.1,1998
20.0,Vijay Singh,279.9,1998
21.0,"Jim Gallagher, Jr.",279.7,1998
21.0,Bradley Hughes,279.7,1998
23.0,Jay Delsing,279.6,1998
24.0,John Adams,279.4,1998
25.0,Stuart Appleby,279.3,1998
25.0,John Huston,279.3,1998
27.0,Robert Damron,279.0,1998
28.0,Mark Calcavecchia,278.4,1998
29.0,Richie Coughlan,278.2,1998
29.0,Duffy Waldorf,278.2,1998
31.0,Tom Pernice Jr.,278.0,1998
32.0,R.W. Eaks,277.7,1998
33.0,Craig Barlow,277.4,1998
33.0,Steve Lowery,277.4,1998
33.0,Brett Quigley,277.4,1998
36.0,Paul Azinger,277.3,1998
37.0,Ted Tryba,276.5,1998
37.0,Grant Waite,276.5,1998
39.0,Peter Jacobsen,276.3,1998
40.0,Keith Fergus,276.0,1998
41.0,Phil Blackmar,275.9,1998
42.0,Ernie Els,275.4,1998
43.0,Sandy Lyle,275.3,1998
44.0,Paul Stankowski,275.1,1998
45.0,Brian Henninger,274.9,1998
45.0,Lee Janzen,274.9,1998
47.0,Andy Bean,274.8,1998
47.0,Trevor Dodds,274.8,1998
49.0,Dan Forsman,274.7,1998
50.0,Bob Tway,274.5,1998
51.0,Brandel Chamblee,274.4,1998
52.0,Brent Geiberger,274.3,1998
53.0,Nick Price,273.9,1998
54.0,Jerry Kelly,273.7,1998
55.0,Dudley Hart,273.6,1998
55.0,Andrew Magee,273.6,1998
57.0,Craig Stadler,273.5,1998
58.0,Hal Sutton,273.2,1998
58.0,Tommy Tolles,273.2,1998
60.0,Mike Standly,273.1,1998
61.0,Jim McGovern,273.0,1998
62.0,Michael Bradley,272.9,1998
62.0,Hugh Royer III,272.9,1998
64.0,J.P. Hayes,272.7,1998
64.0,Kevin Wentworth,272.7,1998
66.0,"Dave Stockton, Jr.",272.6,1998
66.0,Steve Stricker,272.6,1998
66.0,Scott Verplank,272.6,1998
69.0,Mike Springer,272.5,1998
70.0,Blaine McCallister,272.4,1998
71.0,Stewart Cink,272.3,1998
71.0,Glen Day,272.3,1998
73.0,Ronnie Black,272.1,1998
74.0,Russ Cochran,272.0,1998
75.0,Guy Boros,271.9,1998
76.0,Chris DiMarco,271.8,1998
77.0,Ben Bates,271.5,1998
77.0,David Toms,271.5,1998
79.0,Rick Fehr,271.3,1998
79.0,Mike Weir,271.3,1998
81.0,Steve Pate,271.2,1998
82.0,Franklin Langham,271.0,1998
83.0,Gabriel Hjertstedt,270.9,1998
84.0,Jonathan Kaye,270.8,1998
84.0,Greg Kraft,270.8,1998
84.0,Payne Stewart,270.8,1998
84.0,Kevin Sutherland,270.8,1998
88.0,Rocco Mediate,270.7,1998
89.0,Chris Perry,270.6,1998
90.0,John Riegger,270.5,1998
91.0,Tom Lehman,270.4,1998
,Tour Average,270.2,1998
92.0,Billy Mayfair,270.2,1998
93.0,Steve Jurgensen,270.1,1998
94.0,Neal Lancaster,269.7,1998
95.0,Kent Jones,269.6,1998
95.0,Bobby Wadkins,269.6,1998
97.0,Doug Barron,269.5,1998
97.0,Bob Gilder,269.5,1998
97.0,Joey Sindelar,269.5,1998
100.0,Tim Conley,269.4,1998
100.0,Craig Parry,269.4,1998
102.0,David Sutherland,269.3,1998
103.0,Stephen Ames,269.1,1998
103.0,P.H. Horgan III,269.1,1998
103.0,Mike Hulbert,269.1,1998
106.0,Bob Estes,269.0,1998
106.0,Skip Kendall,269.0,1998
108.0,Joe Durant,268.9,1998
108.0,Robert Gamez,268.9,1998
110.0,Jim Furyk,268.8,1998
111.0,Mark Carnevale,268.7,1998
112.0,Brian Kamm,268.5,1998
113.0,Brad Fabel,268.2,1998
113.0,Mark Wiebe,268.2,1998
113.0,Mark Wurtz,268.2,1998
116.0,Iain Steel,268.1,1998
117.0,Scott Hoch,268.0,1998
117.0,Mark O'Meara,268.0,1998
119.0,Clarence Rose,267.8,1998
120.0,Billy Andrade,267.7,1998
121.0,Donnie Hammond,267.6,1998
121.0,Frank Nobilo,267.6,1998
121.0,Mike Small,267.6,1998
124.0,Billy Ray Brown,267.5,1998
124.0,Phil Tataurangi,267.5,1998
126.0,Fred Funk,267.4,1998
126.0,Joe Ozaki,267.4,1998
128.0,Justin Leonard,267.2,1998
129.0,Mark Brooks,267.1,1998
129.0,Keith Nolan,267.1,1998
131.0,Jeff Gallagher,267.0,1998
131.0,Kirk Triplett,267.0,1998
133.0,Paul Goydos,266.9,1998
133.0,Omar Uresti,266.9,1998
135.0,Jay Don Blake,266.7,1998
135.0,Glen Hnatiuk,266.7,1998
135.0,David Ogrin,266.7,1998
138.0,Jeff Sluman,266.5,1998
139.0,Jim Estes,266.1,1998
140.0,Guy Hill,265.9,1998
140.0,Tom Kite,265.9,1998
140.0,Jesper Parnevik,265.9,1998
143.0,Dave Barr,265.7,1998
143.0,Jeff Maggert,265.7,1998
145.0,Jay Haas,265.6,1998
146.0,Joe Daley,265.4,1998
146.0,Clark Dennis,265.4,1998
146.0,Nolan Henke,265.4,1998
149.0,Jimmy Johnston,265.3,1998
150.0,Lee Rinker,265.2,1998
151.0,Jim Carter,265.0,1998
152.0,Scott Gump,264.8,1998
153.0,David Frost,264.6,1998
154.0,Larry Mize,264.4,1998
155.0,Tom Byrum,264.2,1998
155.0,Nick Faldo,264.2,1998
155.0,Bob Friend,264.2,1998
158.0,Frank Lickliter II,264.1,1998
158.0,Sonny Skinner,264.1,1998
160.0,Chip Beck,263.9,1998
161.0,Len Mattiace,263.8,1998
162.0,Olin Browne,263.3,1998
163.0,Fulton Allem,263.2,1998
163.0,John Cook,263.2,1998
163.0,Tim Loustalot,263.2,1998
166.0,Bobby Gage,262.7,1998
167.0,Brad Faxon,262.6,1998
167.0,Fuzzy Zoeller,262.6,1998
169.0,Spike McRoy,261.7,1998
170.0,Pete Jordan,261.4,1998
171.0,Curtis Strange,261.1,1998
172.0,David Edwards,260.8,1998
173.0,Esteban Toledo,260.4,1998
174.0,D.A. Weibring,260.2,1998
175.0,Willie Wood,260.0,1998
176.0,Scott Simpson,259.9,1998
177.0,Lee Porter,259.1,1998
178.0,Loren Roberts,258.0,1998
179.0,Doug Martin,257.9,1998
180.0,Mike Brisky,257.6,1998
181.0,Bruce Fleisher,256.7,1998
182.0,Don Pooley,256.6,1998
183.0,Larry Rinker,256.5,1998
184.0,Mike Reid,256.0,1998
185.0,Dicky Pride,255.6,1998
186.0,Lennie Clements,252.3,1998
187.0,John Morse,250.8,1998
188.0,Corey Pavin,249.0,1998
1.0,John Daly,305.6,1999
2.0,Chris Couch,295.8,1999
3.0,Tiger Woods,293.1,1999
4.0,Rory Sabbatini,292.7,1999
5.0,Harrison Frazar,290.5,1999
6.0,Chris Smith,287.2,1999
7.0,Barry Cheesman,287.1,1999
7.0,Scott McCarron,287.1,1999
9.0,David Duval,286.8,1999
10.0,Dennis Paulson,286.3,1999
11.0,Phil Mickelson,285.7,1999
12.0,Tim Herron,284.8,1999
13.0,Vijay Singh,284.3,1999
14.0,Notah Begay III,283.8,1999
15.0,Fred Couples,283.4,1999
15.0,Charles Warren,283.4,1999
17.0,Davis Love III,283.0,1999
18.0,John Elliott,282.9,1999
19.0,Tommy Armour III,281.2,1999
20.0,"Jim Gallagher, Jr.",280.9,1999
21.0,Bo Van Pelt,280.7,1999
22.0,Craig Barlow,280.4,1999
22.0,Kenny Perry,280.4,1999
22.0,Grant Waite,280.4,1999
25.0,Stuart Appleby,280.1,1999
25.0,Cameron Beckman,280.1,1999
27.0,Jonathan Kaye,279.9,1999
27.0,Andrew Magee,279.9,1999
27.0,Duffy Waldorf,279.9,1999
30.0,Paul Stankowski,279.6,1999
31.0,Robert Allenby,279.5,1999
31.0,Michael Bradley,279.5,1999
31.0,J.L. Lewis,279.5,1999
34.0,Bill Glasson,279.0,1999
34.0,Katsumasa Miyamoto,279.0,1999
36.0,David Seawell,278.8,1999
37.0,Ted Tryba,278.5,1999
38.0,Ernie Els,278.2,1999
39.0,Charles Raulerson,278.1,1999
40.0,Perry Moss,278.0,1999
41.0,Carlos Franco,277.9,1999
42.0,Gabriel Hjertstedt,277.6,1999
42.0,Joe Ogilvie,277.6,1999
44.0,Chris Perry,277.4,1999
45.0,Tom Purtzer,277.3,1999
46.0,Craig Stadler,277.2,1999
47.0,J.P. Hayes,277.1,1999
48.0,Stewart Cink,276.9,1999
49.0,Phil Blackmar,276.8,1999
50.0,Emlyn Aubrey,276.7,1999
50.0,Brett Quigley,276.7,1999
52.0,Tom Scherrer,276.4,1999
52.0,Hal Sutton,276.4,1999
52.0,Kirk Triplett,276.4,1999
55.0,Dudley Hart,276.3,1999
56.0,Robert Damron,276.2,1999
56.0,Peter Jacobsen,276.2,1999
56.0,Tommy Tolles,276.2,1999
59.0,Woody Austin,276.0,1999
59.0,Greg Chalmers,276.0,1999
61.0,Tom Lehman,275.6,1999
62.0,Russ Cochran,275.4,1999
62.0,David Toms,275.4,1999
64.0,Trevor Dodds,275.2,1999
64.0,Steve Stricker,275.2,1999
66.0,Jimmy Green,275.1,1999
67.0,Chris DiMarco,275.0,1999
67.0,Deane Pappas,275.0,1999
69.0,Doug Dunakey,274.9,1999
70.0,Briny Baird,274.8,1999
70.0,Bob Burns,274.8,1999
70.0,Dan Forsman,274.8,1999
70.0,Mike Weir,274.8,1999
74.0,Mark Calcavecchia,274.7,1999
74.0,Steve Flesch,274.7,1999
76.0,Ted Purdy,274.5,1999
77.0,Steve Jones,274.4,1999
77.0,Bob Tway,274.4,1999
79.0,Ronnie Black,274.3,1999
80.0,Bradley Hughes,274.2,1999
81.0,Nick Price,274.0,1999
82.0,Brent Geiberger,273.9,1999
83.0,Scott Dunlap,273.7,1999
84.0,Jay Williamson,273.6,1999
85.0,Eric Booker,273.4,1999
86.0,Paul Azinger,273.1,1999
87.0,Rich Beem,272.9,1999
88.0,Neal Lancaster,272.8,1999
89.0,Jerry Kelly,272.7,1999
90.0,Joe Ozaki,272.5,1999
90.0,Kevin Sutherland,272.5,1999
92.0,John Huston,272.4,1999
92.0,Jesper Parnevik,272.4,1999
94.0,Jay Delsing,272.3,1999
95.0,Brian Henninger,272.0,1999
96.0,Steve Lowery,271.9,1999
97.0,Glen Day,271.8,1999
97.0,Robin Freeman,271.8,1999
,Tour Average,271.6,1999
99.0,Chris Riley,271.6,1999
100.0,Rocco Mediate,271.4,1999
101.0,Justin Leonard,271.2,1999
102.0,Stephen Ames,270.9,1999
102.0,Tom Kite,270.9,1999
104.0,Tom Pernice Jr.,270.8,1999
104.0,Phil Tataurangi,270.8,1999
104.0,Scott Verplank,270.8,1999
107.0,Clarence Rose,270.7,1999
108.0,Franklin Langham,270.5,1999
109.0,Skip Kendall,270.3,1999
109.0,Blaine McCallister,270.3,1999
109.0,"Dave Stockton, Jr.",270.3,1999
112.0,Kent Jones,270.1,1999
112.0,Len Mattiace,270.1,1999
114.0,Joe Durant,270.0,1999
114.0,Craig Parry,270.0,1999
116.0,Ben Bates,269.9,1999
116.0,Jeff Maggert,269.9,1999
118.0,Jeff Brehaut,269.8,1999
119.0,Fred Funk,269.7,1999
119.0,Billy Mayfair,269.7,1999
119.0,Steve Pate,269.7,1999
122.0,Billy Andrade,269.5,1999
122.0,Steve Elkington,269.5,1999
122.0,Mike Springer,269.5,1999
122.0,Fuzzy Zoeller,269.5,1999
126.0,David Sutherland,269.4,1999
127.0,Bob Estes,269.2,1999
128.0,Jeff Sluman,269.1,1999
129.0,Joey Sindelar,269.0,1999
130.0,Brian Gay,268.9,1999
131.0,Ty Armstrong,268.8,1999
131.0,Doug Barron,268.8,1999
131.0,Alan Bratton,268.8,1999
134.0,Brandel Chamblee,268.7,1999
134.0,Kevin Wentworth,268.7,1999
136.0,Mike Sposa,268.4,1999
137.0,David Frost,268.2,1999
137.0,P.H. Horgan III,268.2,1999
139.0,Brad Fabel,268.1,1999
140.0,Jeff Gallagher,268.0,1999
141.0,Rick Fehr,267.9,1999
142.0,Frank Lickliter II,267.8,1999
142.0,Mark Wiebe,267.8,1999
144.0,Scott Hoch,267.5,1999
145.0,Lee Janzen,267.4,1999
145.0,Geoffrey Sisk,267.4,1999
145.0,Brian Watts,267.4,1999
148.0,Sean Murphy,267.2,1999
149.0,Greg Kraft,267.1,1999
150.0,Steve Jurgensen,266.9,1999
150.0,Mark O'Meara,266.9,1999
152.0,Jay Don Blake,266.8,1999
153.0,Payne Stewart,266.7,1999
154.0,Jay Haas,266.5,1999
155.0,Mike Hulbert,266.4,1999
156.0,Jim Carter,266.3,1999
157.0,Scott Gump,266.2,1999
158.0,Brad Faxon,265.9,1999
158.0,Dicky Pride,265.9,1999
160.0,Paul Goydos,265.8,1999
161.0,Mike Brisky,265.5,1999
161.0,Jim Furyk,265.5,1999
163.0,Olin Browne,265.4,1999
163.0,Frank Nobilo,265.4,1999
165.0,John Cook,265.3,1999
166.0,Danny Briggs,265.0,1999
166.0,Mark Brooks,265.0,1999
168.0,Omar Uresti,264.9,1999
169.0,Pete Jordan,264.8,1999
170.0,D.A. Weibring,264.4,1999
171.0,Robert Gamez,264.3,1999
172.0,Larry Mize,264.1,1999
173.0,Lee Rinker,264.0,1999
174.0,Clark Dennis,263.9,1999
175.0,Bob Friend,263.6,1999
176.0,John Maginnes,263.3,1999
177.0,Tom Byrum,263.1,1999
178.0,David Ogrin,262.0,1999
179.0,Fulton Allem,261.9,1999
180.0,Tim Loustalot,261.4,1999
181.0,Esteban Toledo,261.3,1999
182.0,Nolan Henke,260.3,1999
183.0,Doug Martin,259.0,1999
183.0,Lee Porter,259.0,1999
185.0,Chip Beck,258.8,1999
186.0,Scott Simpson,256.9,1999
186.0,Lanny Wadkins,256.9,1999
188.0,Mike Reid,256.7,1999
189.0,Larry Rinker,255.4,1999
190.0,Willie Wood,255.2,1999
191.0,Loren Roberts,254.8,1999
192.0,Corey Pavin,252.5,1999
1.0,John Daly,301.4,2000
2.0,Tiger Woods,298.0,2000
3.0,Davis Love III,288.7,2000
3.0,Phil Mickelson,288.7,2000
5.0,Scott McCarron,288.5,2000
6.0,Casey Martin,288.3,2000
7.0,Harrison Frazar,287.3,2000
8.0,Stuart Appleby,286.4,2000
9.0,Mathew Goggin,286.3,2000
10.0,Robert Allenby,285.8,2000
11.0,Rory Sabbatini,285.5,2000
12.0,Tim Herron,285.0,2000
13.0,Fred Couples,284.7,2000
14.0,Carl Paulson,284.6,2000
15.0,Kelly Gibson,284.3,2000
15.0,Dennis Paulson,284.3,2000
17.0,Barry Cheesman,284.1,2000
18.0,David Duval,283.5,2000
19.0,Paul Stankowski,283.4,2000
19.0,Duffy Waldorf,283.4,2000
21.0,Kenny Perry,282.8,2000
22.0,Michael Clark II,282.1,2000
23.0,Brandt Jobe,281.7,2000
24.0,Craig Barlow,281.3,2000
25.0,Aaron Bengoechea,281.2,2000
26.0,Shigeki Maruyama,281.1,2000
27.0,Bill Glasson,280.8,2000
28.0,Tommy Armour III,280.3,2000
29.0,Cameron Beckman,280.1,2000
